comm_id,name,cntr_code,osm_id_commune,osm_name,osm_role_point,lon,lat,NUTS23_id,osm_id_NUTS23
BE273022,Heers,BE,1244997,Heers,admin_centre,5.301751,50.750995,BE22,53142
BE273066,Riemst,BE,1245010,Riemst,admin_centre,5.597872,50.811583,BE22,53142
FR2108414264,Machault,FR,1245450,Machault,admin_centre,4.500749,49.355767,FR211,7395
FR2108414092,Cauroy,FR,1245451,Cauroy,admin_centre,4.469113,49.347764,FR211,7395
BE273001,Alken,BE,1245629,Alken,admin_centre,5.307987,50.875473,BE22,53142
BE271024,Herk-de-Stad / Herck-la-Ville,BE,1245632,Herk-de-Stad,admin_centre,5.165970,50.940696,BE22,53142
BE271066,Zonhoven,BE,1245637,Zonhoven,admin_centre,5.367768,50.990983,BE22,53142
BE271070,Heusden-Zolder,BE,1245638,Heusden-Zolder,admin_centre,5.275048,51.023348,BE22,53142
BE272039,Houthalen-Helchteren,BE,1245642,Houthalen-Helchteren,admin_centre,5.371304,51.028182,BE22,53142
BE271037,Lummen,BE,1245870,Lummen,admin_centre,5.191714,50.986447,BE22,53142
BE271045,Nieuwerkerken,BE,1245883,Nieuwerkerken,admin_centre,5.193901,50.865363,BE22,53142
BE271053,Sint-Truiden / Saint-Trond,BE,1245886,Sint-Truiden,admin_centre,5.185943,50.815091,BE22,53142
BE273006,Bilzen,BE,1246112,Bilzen,admin_centre,5.516301,50.871336,BE22,53142
BE271067,Zutendaal,BE,1246115,Zutendaal,admin_centre,5.572555,50.931899,BE22,53142
BE273042,Lanaken,BE,1246116,Lanaken,centroid,5.644395,50.899314,BE22,53142
BE271002,As,BE,1246147,As,admin_centre,5.584291,51.009006,BE22,53142
BE271047,Opglabbeek,BE,1246148,Opglabbeek,admin_centre,5.581962,51.042995,BE22,53142
BE272003,Bocholt,BE,1246264,Bocholt,admin_centre,5.577075,51.172902,BE22,53142
BE272018,Kinrooi,BE,1246290,Kinrooi,centroid,5.760096,51.152990,BE22,53142
BE272004,Bree,BE,1246296,Bree,centroid,5.632490,51.141853,BE22,53142
BE272040,Meeuwen-Gruitrode,BE,1246374,Meeuwen-Gruitrode,centroid,5.552195,51.084346,BE22,53142
BE272037,Hamont-Achel,BE,1247306,Hamont-Achel,centroid,5.507383,51.260115,BE22,53142
FR2202436232,Coyolles,FR,1248073,Coyolles,admin_centre,3.043846,49.234331,FR221,7411
FR4154111171,Doncourt-lès-Conflans,FR,1251144,Doncourt-lès-Conflans,admin_centre,5.936177,49.142939,FR411,51856
FR4154115574,Villers-la-Chèvre,FR,1251148,Villers-la-Chèvre,admin_centre,5.694412,49.505492,FR411,51856
FR4154111277,Jeandelize,FR,1251164,Jeandelize,admin_centre,5.790800,49.162848,FR411,51856
FR4154410548,Vannes-le-Châtel,FR,1251172,Vannes-le-Châtel,admin_centre,5.779900,48.546200,FR411,51856
FR4154412557,Velaine-en-Haye,FR,1251175,Velaine-en-Haye,admin_centre,6.022300,48.703900,FR411,51856
FR4154111198,Fléville-Lixières,FR,1251298,Fléville-Lixières,admin_centre,5.824170,49.245522,FR411,51856
FR4157423075,Beux,FR,1252216,Beux,admin_centre,6.316900,49.000800,FR413,51854
FR4157314082,Biding,FR,1252276,Biding,admin_centre,6.788028,49.060033,FR413,51854
FR4157234353,Juvelize,FR,1252279,Juvelize,admin_centre,6.648255,48.762419,FR413,51854
FR4157636732,Volmunster,FR,1253405,Volmunster,admin_centre,7.353670,49.121857,FR413,51854
FR4157314105,Boustroff,FR,1253406,Boustroff,admin_centre,6.622874,48.999792,FR413,51854
FR4157636513,Nousseviller-lès-Bitche,FR,1253407,Nousseviller-lès-Bitche,admin_centre,7.374258,49.104404,FR413,51854
FR4157602594,Roppeviller,FR,1253409,Roppeviller,admin_centre,7.508303,49.101578,FR413,51854
FR4157626535,Petit-Réderching,FR,1253507,Petit-Réderching,admin_centre,7.304372,49.055718,FR413,51854
FR4157626651,Siersthal,FR,1253511,Siersthal,admin_centre,7.350502,49.043463,FR413,51854
FR4157602577,Reyersviller,FR,1253513,Reyersviller,admin_centre,7.391361,49.040360,FR413,51854
FR4157207141,Chicourt,FR,1255237,Chicourt,admin_centre,6.502353,48.918112,FR413,51854
FR4157207292,Hannocourt,FR,1255319,Hannocourt,admin_centre,6.441302,48.908133,FR413,51854
FR4157207158,Craincourt,FR,1255333,Craincourt,admin_centre,6.322000,48.876700,FR413,51854
FR4157206151,Conthil,FR,1255555,Conthil,admin_centre,6.662176,48.893450,FR413,51854
FR4157206281,Haboudange,FR,1255558,Haboudange,admin_centre,6.612824,48.891525,FR413,51854
FR4157341644,Seingbouse,FR,1255560,Seingbouse,admin_centre,6.831433,49.113248,FR413,51854
FR4157314409,Lixing-lès-Saint-Avold,FR,1255561,Lixing-lès-Saint-Avold,admin_centre,6.752315,49.035720,FR413,51854
BE242026,Wichelen,BE,1260073,Wichelen,centroid,3.953416,50.998752,BE23,53135
BE242003,Berlare,BE,1260082,Berlare,centroid,3.979305,51.036262,BE23,53135
BE242028,Zele,BE,1260083,Zele,admin_centre,4.038586,51.068362,BE23,53135
BE393056,Philippeville,BE,1260359,Philippeville,admin_centre,4.544903,50.195588,BE35,1311816
BE243002,Assenede,BE,1260360,Assenede,admin_centre,3.752714,51.227813,BE23,53135
FR4157525320,Hertzing,FR,1263319,Hertzing,admin_centre,6.953553,48.687748,FR413,51854
FR4157525611,Saint-Georges,FR,1263321,Saint-Georges,admin_centre,6.928099,48.658138,FR413,51854
BE213008,Geel,BE,1263541,Geel,admin_centre,4.990319,51.161083,BE21,53114
BE213025,Mol,BE,1263864,Mol,admin_centre,5.115527,51.184042,BE21,53114
BE213003,Balen,BE,1263915,Balen,admin_centre,5.169686,51.170755,BE21,53114
BE213021,Meerhout,BE,1264080,Meerhout,admin_centre,5.077239,51.131743,BE21,53114
BE213053,Laakdal,BE,1264101,Laakdal,admin_centre,5.007302,51.080270,BE21,53114
BE213006,Dessel,BE,1265121,Dessel,admin_centre,5.113243,51.239571,BE21,53114
BE213036,Retie,BE,1265126,Retie,admin_centre,5.084388,51.267586,BE21,53114
FR4157206257,Grémecey,FR,1265999,Grémecey,admin_centre,6.407310,48.800958,FR413,51854
BE241034,Lede,BE,1266491,Lede,centroid,3.945464,50.966058,BE23,53135
FR4157207391,Lemoncourt,FR,1266960,Lemoncourt,admin_centre,6.394185,48.866209,FR413,51854
FR4157207349,Jallaucourt,FR,1267391,Jallaucourt,admin_centre,6.387484,48.838145,FR413,51854
FR4157206290,Hampont,FR,1267392,Hampont,admin_centre,6.582262,48.835151,FR413,51854
FR4157206295,Haraucourt-sur-Seille,FR,1267394,Haraucourt-sur-Seille,admin_centre,6.604281,48.798653,FR413,51854
FR3159416667,Zermezeele,FR,126766,Zermezeele,admin_centre,2.457650,50.832008,FR301,7400
