"","id","x","y"
"368","UK517",-4.05078094,51.64368207
"369","UK518",-1.46983872,52.9130319
"370","UK520",-1.39904436,50.91970385
"371","UK525",-0.73338256,52.08391951
"372","UK531",-2.5627532,53.39916576
"373","UK533",-1.06186122,53.95927555
"374","UK536",-1.33255317,54.56091218
"375","UK540",-0.81518736,51.64921517
"376","UK543",-0.13807704,53.54246668
"377","UK545",-0.25321269,52.60877959
"378","UK549",-0.47698783,52.18925467
"379","UK550",-2.97045264,56.47802019
"380","UK552",-0.98338059,51.45254833
"381","UK557",-2.46747089,53.69269904
"382","UK559",-1.22254051,54.5421805
"383","UK561",-3.55324753,50.44010312
"384","UK566",1.27570247,52.6328629
"385","UK568",-2.81640905,53.14520577
"386","UK570",-2.53213065,53.062503
"387","UK572",-2.24013717,51.84941854
"388","UK575",-2.8047678,54.97114804
"389","CY501",33.06999981,34.71789277
"390","DE502",8.50083832,49.49913078
"391","DE504",7.62360851,51.95446027
"392","DE506",10.52380872,52.27498287
"393","DE508",6.57957449,51.34497616
"394","DE510",10.70972158,53.86731841
"395","DE512",12.14403302,54.14782253
"396","DE516",7.0660258,51.16288372
"397","DE518",8.39686848,49.48167573
"398","DE520",8.22467059,53.14477868
"399","DE522",8.69517945,49.40530225
"400","DE524",9.94073557,49.78458691
"401","DE526",10.7846321,52.41092315
"402","DE529",9.18151323,49.15260773
"403","DE533",8.71197463,48.87654191
"404","DE536",10.37031892,52.12454256
"405","DE540",8.01205887,50.88076459
"406","DE542",9.94394368,52.14469554
"407","ES501",-3.59140904,37.18585882
"408","ES505",-0.66488914,38.24725056
"409","ES508",-5.96644073,36.6819559
"410","ES510",-1.99622935,43.29849171
"411","ES514",-2.34232113,36.8757966
"412","ES519",-1.89033552,38.95421142
"413","ES521",-6.9299258,37.27296201
"414","ES528",0.58189515,41.63135968
"415","ES533",-4.87544494,36.514467
"416","FR009",3.0483037,50.6499711
"417","FR028",55.50309001,-20.93942963
"418","FR030",-61.03728222,14.64413577
"419","FR203",5.42261319,43.30801931
"420","FR207",2.78645989,50.42984651
